DIAMETER,HEIGHT,VOLUME,LDIAM,LHGT,LVOL
0.6917,70,10.3,-0.369,4.249,2.332
0.7167,65,10.3,-0.333,4.174,2.332
0.7333,63,10.2,-0.310,4.143,2.322
0.8750,72,16.4,-0.134,4.277,2.797
0.8917,81,18.8,-0.115,4.394,2.934
0.9000,83,19.7,-0.105,4.419,2.981
0.9167,66,15.6,-0.087,4.190,2.747
0.9167,75,18.2,-0.087,4.317,2.901
0.9250,80,22.6,-0.078,4.382,3.118
0.9333,75,19.9,-0.069,4.317,2.991
0.9417,79,24.2,-0.060,4.369,3.186
0.9500,76,21.0,-0.051,4.331,3.045
0.9500,76,21.4,-0.051,4.331,3.063
0.9750,69,21.3,-0.025,4.234,3.059
1.0000,75,19.1,0.000,4.317,2.950
1.0750,74,22.2,0.072,4.304,3.100
1.0750,85,33.8,0.072,4.443,3.520
1.1083,86,27.4,0.103,4.454,3.311
1.1417,71,25.7,0.132,4.263,3.246
1.1500,64,24.9,0.140,4.159,3.215
1.1667,78,34.5,0.154,4.357,3.541
1.1833,80,31.7,0.168,4.382,3.456
1.2083,74,36.3,0.189,4.304,3.592
1.3333,72,38.3,0.288,4.277,3.645
1.3583,77,42.6,0.306,4.344,3.752
1.4417,81,55.4,0.366,4.394,4.015
1.4583,82,55.7,0.377,4.407,4.020
1.4917,80,58.3,0.400,4.382,4.066
1.5000,80,51.5,0.405,4.382,3.942
1.5000,80,51.0,0.405,4.382,3.932
1.7167,87,77.0,0.540,4.466,4.344
